id_materie,materie,an,semestru,specializarea,departament
1,Algebra si geometrie,1,1,IS,Matematica
2,Analiza Matematica,1,1,IS,Matematica
3,Engleza,1,1,IS,Comunicare si Limbi Straine
4,Fizica,1,1,IS,Bazele Fizice ale Ingineriei
5,Franceza,1,1,IS,Comunicare si Limbi Straine
6,Fundamente de inginerie mecanica si robotica,1,1,IS,Mecanica
7,Germana,1,1,IS,Comunicare si Limbi Straine
8,Logica si structuri de date,1,1,IS,Automatica si Informatica Aplicata
9,Programarea calculatoarelor,1,1,IS,Automatica si Informatica Aplicata
10,Arhitectura calculatoarelor,2,1,IS,Automatica si Informatica Aplicata
11,Comunicare,2,1,IS,Comunicare si Limbi Straine
12,"Principii, tehnici si dispozitive de masurare",2,1,IS,Masurari si Electronica Optica
13,Programare orientata pe obiecte,2,1,IS,Automatica si Informatica Aplicata
14,Proiectarea circuitelor digitale dedicate,2,1,IS,Automatica si Informatica Aplicata
15,Structuri de date si algoritmi,2,1,IS,Automatica si Informatica Aplicata
16,Teoria sistemelor 1,2,1,IS,Automatica si Informatica Aplicata
17,Aplicatii cu automate programabile ,3,1,IS,Automatica si Informatica Aplicata
18,Management si Marketing,3,1,IS,Management
19,Medii si tehnologii de programare,3,1,IS,Automatica si Informatica Aplicata
20,Programare Java ,3,1,IS,Automatica si Informatica Aplicata
21,Programarea aplicaiilor internet ,3,1,IS,Automatica si Informatica Aplicata
22,Proiect sincretic 1 - C. Sorandaru ,3,1,IS,Inginerie electrica
23,Proiect sincretic 1 -F. Dragan ,3,1,IS,Automatica si Informatica Aplicata
24,Proiect sincretic 1 -S. Nanu ,3,1,IS,Automatica si Informatica Aplicata
25,Sisteme cu evenimente discrete ,3,1,IS,Automatica si Informatica Aplicata
26,Sisteme incorporate,3,1,IS,Automatica si Informatica Aplicata
27,Structuri si algoritmi pentru cond. aut. a proc.,3,1,IS,Automatica si Informatica Aplicata
28,Aplicatii cu automate programabile ,4,1,IS,Automatica si Informatica Aplicata
29,Bazele roboticii ,4,1,IS,Mecanica
30,Comunicatii de date,4,1,IS,Automatica si Informatica Aplicata
31,"Conducerea actionarilor electrice, hidraulice si pneumatice ",4,1,IS,Automatica si Informatica Aplicata
32,Conducerea asistata de calculator a proceselor de fabricatie,4,1,IS,Automatica si Informatica Aplicata
33,Dezvoltarea aplicatiilor de tip Cloud ,4,1,IS,Automatica si Informatica Aplicata
34,Elemente de executie electrice,4,1,IS,Mecanica
35,Instrumentatie virtuala,4,1,IS,Automatica si Informatica Aplicata
36,Invatare automata,4,1,IS,Automatica si Informatica Aplicata
37,Limbaje de asamblare,4,1,IS,Automatica si Informatica Aplicata
38,Programare Java,4,1,IS,Automatica si Informatica Aplicata
39,Programare vizuala,4,1,IS,Automatica si Informatica Aplicata
40,Programarea aplicatiilor internet,4,1,IS,Automatica si Informatica Aplicata
41,Proiectarea sistemelor software complexe ,4,1,IS,Automatica si Informatica Aplicata
